lpId,adres1885,straatnaam1885,zoneType,lpAddressStatus,isLinkableAddress,linkingStatus,hasGeometry,candidateCount,candidateSummary
2211,EBW221a,Mauriciusstraat,renumbered-1885,address,yes,matched,yes,8,4233 | 1885 | 1e BW 221 | Mauriciusstraat | 1885-fallback-core-only+street || 4234 | 1885 | 1e BW 221 | Mauriciusstraat | 1885-fallback-core-only+street || 4235 | 1885 | 1e BW 221 | Mauriciusstraat | 1885-fallback-core-only+street || 4236 | 1885 | 1e BW 221 | Mauriciusstraat | 1885-fallback-core-only+street || 5297 | 1885 | 1e BW 221 | Mauriciusstraat | 1885-fallback-core-only+street || 5298 | 1885 | 1e BW 221 | Mauriciusstraat | 1885-fallback-core-only+street || 5299 | 1885 | 1e BW 221 | Mauriciusstraat | 1885-fallback-core-only+street || 5300 | 1885 | 1e BW 221 | Mauriciusstraat | 1885-fallback-core-only+street
2212,EBW222a,Mauriciusstraat,renumbered-1885,address,yes,matched,yes,7,4237 | 1885 | 1e BW 222 a | Mauriciusstraat | 1885-exact-components+street || 4238 | 1885 | 1e BW 222 b | Mauriciusstraat | 1885-fallback-core-only+street || 5301 | 1885 | 1e BW 222 | Mauriciusstraat | 1885-fallback-core-only+street || 5302 | 1885 | 1e BW 222 | Mauriciusstraat | 1885-fallback-core-only+street || 5303 | 1885 | 1e BW 222 | Mauriciusstraat | 1885-fallback-core-only+street || 5305 | 1885 | 1e BW 222 | Mauriciusstraat | 1885-fallback-core-only+street || 5307 | 1885 | 1e BW 222 | Mauriciusstraat | 1885-fallback-core-only+street
2213,EBW223a,Mauriciusstraat,renumbered-1885,address,yes,matched,yes,3,4239 | 1885 | 1e BW 223 | Mauriciusstraat | 1885-fallback-core-only+street || 4240 | 1885 | 1e BW 223 | Mauriciusstraat | 1885-fallback-core-only+street || 4241 | 1885 | 1e BW 223 | Mauriciusstraat | 1885-fallback-core-only+street
2214,EBW224a,Vierde dwarsstraat of Bamboeslaan,renumbered-1885,address,yes,matched,yes,1,4218 | 1885 | 1e BW 224 | Mauriciusstraat | 1885-fallback-core-only
2215,EBW225,Mauriciusstraat,renumbered-1885,address,yes,matched,yes,1,4230 | 1885 | 1e BW 225 | Mauriciusstraat | 1885-exact-components+street
2216,EBW226,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,1,3876 | 1885 | 1e BW 226 | Grote Waterstraat | 1885-exact-components+street
2217,EBW227,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,2,3877 | 1885 | 1e BW 227 a | Grote Waterstraat | 1885-fallback-core-only+street || 3878 | 1885 | 1e BW 227 b | Grote Waterstraat | 1885-fallback-core-only+street
2218,EBW228,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,2,3879 | 1885 | 1e BW 228 | Grote Waterstraat | 1885-exact-components+street || 3880 | 1885 | 1e BW 228 | Grote Waterstraat | 1885-exact-components+street
2219,EBW229,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,1,3448 | 1885 | 1e BW 229 | Grote Waterstraat | 1885-exact-components+street
2220,EBW230,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,4,3449 | 1885 | 1e BW 230 | Grote Waterstraat | 1885-exact-components+street || 3450 | 1885 | 1e BW 230 | Grote Waterstraat | 1885-exact-components+street || 3451 | 1885 | 1e BW 230 | Grote Waterstraat | 1885-exact-components+street || 3454 | 1885 | 1e BW 230 | Grote Waterstraat | 1885-exact-components+street
2221,EBW231a,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,3,3467 | 1885 | 1e BW 231 | Grote Waterstraat | 1885-fallback-core-only+street || 3468 | 1885 | 1e BW 231 a | Grote Waterstraat | 1885-exact-components+street || 3471 | 1885 | 1e BW 231 b | Grote Waterstraat | 1885-fallback-core-only+street
2222,EBW232,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,2,3483 | 1885 | 1e BW 232 | Grote Waterstraat | 1885-exact-components+street || 3484 | 1885 | 1e BW 232 | Grote Waterstraat | 1885-exact-components+street
2223,EBW233,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,10,3485 | 1885 | 1e BW 233 | Grote Waterstraat | 1885-exact-components+street || 3486 | 1885 | 1e BW 233 | Grote Waterstraat | 1885-exact-components+street || 3487 | 1885 | 1e BW 233 | Grote Waterstraat | 1885-exact-components+street || 3488 | 1885 | 1e BW 233 | Grote Waterstraat | 1885-exact-components+street || 3489 | 1885 | 1e BW 233 | Grote Waterstraat | 1885-exact-components+street || 3490 | 1885 | 1e BW 233 | Grote Waterstraat | 1885-exact-components+street || 3497 | 1885 | 1e BW 233 | Grote Waterstraat | 1885-exact-components+street || 3498 | 1885 | 1e BW 233 | Grote Waterstraat | 1885-exact-components+street
2224,EBW234,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,2,3491 | 1885 | 1e BW 234 | Grote Waterstraat | 1885-exact-components+street || 3502 | 1885 | 1e BW 234 | Grote Waterstraat | 1885-exact-components+street
2225,EBW235a,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,4,3492 | 1885 | 1e BW 235 a | Grote Waterstraat | 1885-exact-components+street || 3493 | 1885 | 1e BW 235 a | Grote Waterstraat | 1885-exact-components+street || 3494 | 1885 | 1e BW 235 b | Grote Waterstraat | 1885-fallback-core-only+street || 3501 | 1885 | 1e BW 235 a | Grote Waterstraat | 1885-exact-components+street
2226,EBW236,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,3,3495 | 1885 | 1e BW 236 | Grote Waterstraat | 1885-exact-components+street || 3496 | 1885 | 1e BW 236 | Grote Waterstraat | 1885-exact-components+street || 3500 | 1885 | 1e BW 236 | Grote Waterstraat | 1885-exact-components+street
2227,EBW237,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,2,2879 | 1885 | 1e BW 237 | Grote Waterstraat | 1885-exact-components+street || 2880 | 1885 | 1e BW 237 | Grote Waterstraat | 1885-exact-components+street
2228,EBW238,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,1,2878 | 1885 | 1e BW 238 | Grote Waterstraat | 1885-exact-components+street
2229,EBW239,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,5,3478 | 1885 | 1e BW 239 | Grote Waterstraat | 1885-exact-components+street || 3479 | 1885 | 1e BW 239 | Grote Waterstraat | 1885-exact-components+street || 3480 | 1885 | 1e BW 239 | Grote Waterstraat | 1885-exact-components+street || 3481 | 1885 | 1e BW 239 | Grote Waterstraat | 1885-exact-components+street || 3482 | 1885 | 1e BW 239 | Grote Waterstraat | 1885-exact-components+street
2230,EBW240a,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,2,3476 | 1885 | 1e BW 240 a | Grote Waterstraat | 1885-exact-components+street || 3477 | 1885 | 1e BW 240 b | Grote Waterstraat | 1885-fallback-core-only+street
2231,EBW241,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,1,3474 | 1885 | 1e BW 241 | Grote Waterstraat | 1885-exact-components+street
2232,EBW242,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,2,3473 | 1885 | 1e BW 242 | Grote Waterstraat | 1885-exact-components+street || 3475 | 1885 | 1e BW 242 | Grote Waterstraat | 1885-exact-components+street
2233,EBW243,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,2,3469 | 1885 | 1e BW 243 | Grote Waterstraat | 1885-exact-components+street || 3470 | 1885 | 1e BW 243 | Grote Waterstraat | 1885-exact-components+street
